Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.800,es-us,0.81984,,,"Se sonrió aunque ya se ve la se ve la la pantalla vacante listo, chicos, contexto. Otra vez de que hacemos y por qué estamos? Aquí disculparán que no tengo pantalla, no tengo cámara Perdón hoy de la corredera, paila, se me quedó en la casa pero pero nada Vamos a darle así, eh? Contexto de lo que estamos haciendo queremos construir Este modelo de ataque y defensa que es como un juego como estos juegos, que cómo se llama este juego que es súper popular que la gente que es como torrecita, así que la atacas la torre y el otro te tira con otro, pero también hay como diferentes avatares, LoL creo que se llama si no estoy mal que va Así un poco de el tablero. Sí, ponle Así que es como un tablero también es como muñequitos y vas y la"
59.000,118.800,es-us,,,,"Torre y a su tira tu muñeco sino que es algo, así queremos hacer, pero con un sistema de servidores y de computadores que estén interconectados que tengan comunicación que eso Serían como los caminos que hay diferentes tipos de comunicación que tengan sus características propias como sistemas operativos Pues que de pronto estés Lennox El otro es Smart que el otro es Windows eh? Que protocolos se utilizan de comunicación y intentar atacar y obviamente ganar ese tipo de posiciones ganar esos puntos y ese tipo de relaciones es fácil modelarlo, digamos con con grafos es es el que mejor se ajusta para este tipo de tareas que un modelo predictivo o algo así normal, entonces esa es la tarea La idea, es usar ese proyecto hayamos intentado sacar un poco datos con una herramienta llamada foca que es para poder a través de documentos."
118.900,176.300,es-us,0.79169,,,"Eh, sacar Saludos a regiones de español que ya lo he dicho muchas veces, pero es el máximo, me volvió peor que esto es una herramienta que coge, eh? Documentos que hayan suponte en una empresa le saca los metadatos y básicamente pueden Puede crear una estructura completa de de todos los servidores y computadores que hay en tu en tu empresa, porque los metadatos dicen quién lo creó cuando lo creó cómo le envió etcétera, etcétera, incluso hay algunos que tienen password y demás Y eso se puede llegar a sacar eso todavía está en un poco muy veremos porque no he tenido el tiempo para testear una página web que le podamos sacar ese tipo de datos ahí medio vimos que eran superfinanciera que es la que del gobierno que tiene los datos de las empresas de finanzas bancos y segura, eh, Cómo se llama esto empresas de seguros, eh? Y demás."
179.000,238.100,es-us,0.77983,,,"Vimos que allí se puedan sacar algunos datos, pero no, no, no, no se pudo sacar tantos Cómo se deseaban y no tenía tiempo para teste esperando un trabajo en otro lugar por lo que por ahora vamos a utilizar es un dato set que ya tiene parte de esta información que es real de unos datos que sacaron real de intercomunicación que hay entre unos servidores y demás unos que atacaban otros que básicamente se defendían o Se mantenían en un ambiente seguro y y vamos a utilizar ciertas cosas que ahorita lo vamos a explorar un poco que tiene y y demás es el contexto sesión de las anteriores. Habíamos hablado de las operaciones que se pueden hacer con los grafos que tienen ciertas características, que pues tienen nodos, tiene puentes, eh? Que son las conexiones que existen entre entre los nodos que pueden tener, eh? Direcciones que pueden tener también ciertas métricas Como por ejemplo, la centralidad que tan Central es un nodo, habíamos visto diferentes tipos de centralidad uno que era."
238.900,278.400,es-us,,,,"Bitcoin es centrality que es básicamente, qué tan qué tanto sirve ese nuevo como puente para conectar los demás nodos o qué tan conectado está ese nodo? Si es el que está más conectado, pues tiene más centralidad, eh? Pero hemos visto también uno que era muy interesante que se llamaba como en agen, eh? Central que es las estrellitas de saca a partir de los n vectores y en la plaza, no de del grafo acá de pronto. Uno se asusta no dice que la plaza pero eh? Habíamos intentado la sesión anterior e intentar, eh? Definir Qué era la placiada."
299.000,358.800,es-us,,,,"De ahí la fórmula matemática es que podría definirse vulgarmente como la segunda derivada de una función, pero la placiada una representación de la función como tal acá, por ejemplo, si se dan cuenta de como una montaña en esa función y en la plaza no son las flechas que están en el piso, que básicamente es una es un Every Es una representación de la función de su comportamiento. Entonces veíamos que por ejemplo las flechas que salían se correspondían al punto más bajo, cómo aparece aquí en pantalla y parece que se salieran de allí, que se apartaran mientras en el punto más alto, pues parece que llegaran a a unirse de lo que aparece acá parece que todas convergieron en ese en ese punto Pero si yo veo simplemente esta imagen sin saber cómo cómo luce la función real yo puedo."
359.000,418.800,es-us,0.74424,,,"Una idea como luces, una representación es una creo que la palabra que mejor lo Define es en very, según lo que yo he leído entonces del comportamiento que tiene esa función idea misma trasladada a los grafos, nosotros aplicándole en la playa a el agency, esa ese Comando la puede ser bien sin Matrix algo así es la la matriz de proximidad que se refiere a la matriz que me representa las conexiones que tienen mis nodos de hecho Déjenme por acá para no hablar tanto en chino sacamos nuestro libro que ese ha sido muy útil para entender qué rayos este este creo que lo explica bastante bien bastante amable. Estamos aquí arriba por aquí está cerca este tenemos este grafo que está aquí a la izquierda y tenemos esta matriz que"
418.900,478.800,es-us,,,,"es el agente Matrix creo que así ya la pronuncié el Legends Matrix básicamente me mapea las conexiones entre mis nodos Entonces por ejemplo Tengo seis nodos, si se dan cuenta o vértices también se le llama por lo que es una matriz 6 * 6 Sí cada uno de estos puntos que están en azul representa una conexión de un nuevo con otro Entonces por ejemplo, si yo me paro en el dos con el tres y voy busco en el grafo el dos y el tres están conectados efectivamente pasa lo mismo aquí con el uno y el tres el uno y el cuatro Entonces el uno y el tres el uno y el cuatro efectivamente entonces elegy Matrix lo que hace es representarme las conexiones que tiene mi nodo en mi grafo Perdón en una matriz y al momento que nosotros le sacamos el laplaciano a esto muy parecido siguiendo la idea de de de este ejemplo que es"
479.000,538.200,es-us,0.82605,,,"Sacamos un Ever un embebido de las conexiones que existen en mi gráfico como un resumen, podríamos colocarlo en palabras Un poco más más mundanas un resumen que me permitiría, ya vamos a ver hacer operaciones más complejas Cómo encontrar la centralidad, es decir el nodo que es más central, pero que contempla todas las conexiones del grado en general Es decir de la conexión de este grafo con el que sigue con el que sigue con el que sigue, no solamente una conexión local como el de él de between, eh? Funciona como puente sino una una un resumen, eh? Encuentra la centralidad a partir de un resumen global de la conexión de todos los nodos que están en el gráfico Eso es lo que me permite O sea la plaza, pero después vemos que la aplasia no le sacamos una cosa que eran los nb vectores y aquí también nos aceptamos. Nos asustamos electores, tiene valores, eh? Decía bueno."
539.000,598.800,es-us,0.77830,,,"me tiraste la plateado ahora me tiras Este término que también es un poco más feo, pero le sacamos le sacamos a decir la playa, no sacamos los nb vectores n valores Pero para qué como, para qué rayos Yo quiero hacer esto creo que hay varios chicos que se han ido como que se asustan por el tema, pero vamos los que sobrevivan, vamos, Ahí cualquier duda Levanta la mano muchachos y básicamente el n vector y el NBA valor es sacarle, cómo los Pilares a una matriz, si lo vemos de esa manera acá se explica, por ejemplo, cuando queremos hacer una transformación de espacio que es este es el ejemplo más bacano con el que lo puedo explicar acá cuando cuando haces este tipo de estiramientos, por ejemplo que es un cambio de un espacio vectorial tiene un espacio vectorial que estar recto digamos y ahora lo quieres tirar, lo quieres estirar y cambiar eso haces con una matriz que es la"
