Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.900,es-us,,,,"Desarrollador en realidad este ya estamos grabando su inspiración. Él es como la Inspiración de ahorita. Vamos a tocar el tema de foca Déjenme Les comparto el browser primero primero una una mención, pues tiene una tiene nada que ver con lo que estamos haciendo hay una página llamada Jake day. Que a mí me gusta mucho esta gente hace cosas que se puede decir tocan los límites de la tecnología lo que se puede hacer y hay gente que publica cosas, eh? Mire cree tal cosa para que fuera más barato para que fuera más rápido o para que jaque tal cosa o que rompa tal cosa y hay muchas cosas que se enfocan en en Hardware hacen muchas cosas de Hardware pero también hay cosas de software es una página que me gusta Hay cosas superinteresantes publican como el paper publican Como lo hicieron, Eh sí están como interesados Por qué pues vamos a meternos como el tema de seguridad ahí de"
59.000,118.800,es-us,0.80343,,,"no soy experto para nada Lo que sé es porque he oído si soy como fanático, pero me puedes echar código o usar Cali por ahora no lo sé, entonces me parece interesante y como para entrar en calor en el tema que quedamos a tratar Hoy entonces, hay muchas cosas muchas muchas cosas lo lo va a compartir así el chat solo Cómo puedo como para que lo explores están animados y y ya entonces empezamos un poco ya con lo que es, eh, Deep learning o Machine learning con bravos, hay dos libros que vamos a usar o que yo recomiendo dada la exploración que hice uno de ellos es este que es del learning wraps que se enfoca a Reus neuronales enfocada a grafos y es la forma más usual en la que en la que se usa actualmente donde más se"
118.900,178.700,es-us,0.81720,,,"Provecho el libro también lo tengo por acá en PDF Entonces se los puedo compartir Perdón este no es es la aplicación Craft y básicamente te da una introducción de Qué es cómo funciona, eh? No tiene código Eso es todo como buscarlo un poco en internet, no hay tantos libros que tengan códigos sobre esto, pero se está Armando una comunidad bastante interesante y puede encontrarse, pero para resumir un poco la introducción, de qué de qué son grafos, eh? O cómo se pueden de los grafos y cómo se van aplicando en Machine LoL los grafos se componen de entidades o también se llaman nodos que se conectan entre Sí eso es lo que se se podría definir un grafo muy sencillo, hay entidades, se conectan entre ellas y tienen relaciones entre ellas tanto los nodos tienen cualidades como"
179.000,238.100,es-us,0.77733,,,"Los puentes o los hechos tienen cualidades es decir las relaciones que tengo con los demás nodos, también tienen ciertos ficheros ciertas cualidades y según eh? Dice el libro y en lo que está investigando Pues casi todo lo que está a nuestro alrededor, se pueden interpretar de esa manera que es pongan ustedes en un por ejemplo, el ejemplo que vamos a hacer en un sistema de seguridad, pues tenemos servidores los servidores se conectan entre sí, los servidores son los nodos, las conexiones que tienen entre sí que son como me conecto vía chat o me conecto vía a apio, me conecto vía servicio de ya lo ves o algo así son las relaciones que tienen entre ellos, eh? Y pueden tener diferentes cualidades Como por ejemplo hay una conexión en ese puente que tengo con otro servidor que tenemos una conexión fuerte en seguridad el único protocolo que usamos es, eh? Protocolos seguros Entonces ese puente como tal tiene digamos un canal que podría ser vía atta Blue es una Api y tras el hecho puede tener"
238.900,298.900,es-us,0.84818,,,"Nivel de seguridad Entonces el puente tiene cualidades pero el mismo servidor también puede tener cualidades es el servidor puede que tenga un sistema operativo puede que tenga un firewall o algo diferente puede que tenga diferentes protocolos y demás entonces lo que comentan en en los libros es que todo lo que tenga ese tipo de relaciones se podría interpretar como un grafo y puede utilizarse bajo este esquema que vamos a ver en Machine entonces acá incluso dicen que las relaciones que son, eh? De pares, pues se puede representar como un grafo simple también puede tener pesos como prioridades entre entre cada uno de los de los puentes, por ejemplo, otro ejemplo que suelen colocar muchos son relaciones personales puede que con un amigo tenga más fortaleza la amistad que con otro Yo podría colocar eso en un número entonces pueden tener peso esas relaciones también pueden ser direccionales la forma que lo entendí más fácil fue con paper."
299.000,358.100,es-us,0.67827,,,"Hay papers que citan otros papers como respaldo de lo que se está argumentando entonces es unidireccional porque un paper es el que usa el otro, pero por ejemplo la amistad no suele ser o no es unidireccional hay como un acuerdo mutuo de que somos amigos entonces no hay que colocarle como una flechita de que solamente es mi amigo o algo así de pronto la relación jefe empleado quizás o algo así, pero de amistad no, eh, También temporales que podrían durar por un tiempo y luego se desvanecen o dinámicos que van cambiando con el tiempo y si se dan cuenta acá se van relacionando también con lo que con lo que llamamos conociendo que son los tensores Cuando hacemos grupos que podría interpretarse un poco como que la utilización también tiene una interpretación desde grafos y todo lo que es como secuencia o difusión que es un algoritmo que se usa para generar, eh, Para tener los datos, eh? Así, se genera, por ejemplo, imágenes o texto, eh? También se podría interpretar como un gran ordenado incluso series de tiempo entonces."
359.000,418.800,es-us,0.77028,,,"Eh Al parecer todo se puede interpretar como un grafo, eh? Siempre que tenga esta cualidad tengo entidades y esas entidades se relacionan entre sí, una ventaja que me llamó mucho la atención cuando estaba leyendo sobre esto es bueno, Qué me diferencio un poco de los algoritmos como una red neuronal que tenemos usualmente para hacer una predicción Y es que el grafo Ah no alguien más se metió em, que la red neuronal Por lo general está enfocada en que yo tengo unas entradas esas entradas se pasan por la red neuronal se sacan como los patrones base y se genera la predicción sí se utiliza tanto como para generar texto como para hacer la predicción que hicimos del precio de los carros y demás, eh? Pero si se dan cuenta es una relación como unidireccional en la que tengo todas las todas las entradas todos los features y lo utilizo para hacer una predicción es decir todas las relaciones apuntan."
418.900,478.400,es-us,,,,"Dirección tentarse pero con los grafos tú puedes lograr encontrar relaciones más complejas porque todos Es como decir todos todos los todas las entidades se relacionan con todas entonces puedes encontrar patrones No necesariamente pegados al grafo sino pegados como a las relaciones globales de de ese evento de ese sistema eso me llamó mucho la atención. Me parecía muy interesante cuando le eh Pero entonces este libro recomendado ahí voy dándole, eh? Caña para para ir progresando a aprender el tema y el segundo que Les recomiendo mucho es este que se llama un estándar Me Voy cerrando aquí para también seguir la línea lo escribió este Man este Man Simon price me pareció muy interesante porque él tiene un video en este canal de YouTube que yo les he recomendado que se llama Street talks y aquí tocan temas profundos de Machine learning, pero cuando los entiendes Como que"
479.000,538.600,es-us,0.76186,,,"Bastante cuestionado Por qué tocas incluso cosas filosóficas el man siempre intenta traer a los más expertos del mundo que hablan de algún tema al día, o sea, es como un lugar donde puedes estar muy Al Día de lo que está pasando a un nivel técnico, eh? Mochila y Street talks, lo recomiendo muchísimo y pues este Man escribe este libro que se llama understand, que es otro bastante bueno, para entender Cómo funcionan los grafos, entonces acá hace la misma explicación que les comentaba hace un momento tenemos nodos, que son como entidades, eh? Y tenemos hechos o links que son las relaciones que tengo con con cada uno de ellos y Aquí empieza a poner algunos ejemplos muy interesantes que es como por ejemplo ya aplicándolos para encontrar la ruta más directa de un lugar a otro en una en un Road en un como en un mapa esto asumió que luce la Maps o o Waze o cosas así también se utiliza para poder encontrar relaciones entre moléculas, es otro ejemplo muy común que se usa."
539.000,598.800,es-us,,,,"Nuestra moléculas las moléculas tienen ciertas características y cómo se relacionan una con otra se puede generar se puede utilizar para explorar nuevos fármacos incluso explorar los materiales la dureza y demás es un es un buen enfoque Incluso se utiliza para circuitos este me gusta mucho porque yo no lo sabía, eh? Y me llama mucho la atención. Entonces hay muchas aplicaciones acá incluso dice como los tipos de grafos que hay que era lo que les comentaba hace un momento unos grafos que pueden ser simplemente relaciones de amistad Tenemos aquí en el app que aparece acá a ver si lo puedo expandir un poco en el a que es como una red de amigos y nos conectamos entre nosotros tenemos una amistad Entonces por ejemplo, eh? Erin es amigo de Frank y de edad y quizás podría llegar a ser amigo más fácil de Bob porque en la relación con dan digamos directa y algún día ellos podrían salir ese tipo de cosas uno ya va viendo que puede predecir cosas Si este es amigo de este, pues yo podría decir que esté podría conocer más rápido."
