Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
0.000,59.900,es-us,0.80361,,,"Bienvenidos a una sesión más, eh, otra vez para entrar en contexto, que estamos haciendo es tenemos esta este grafo que tiene información de servidores Hay unos que son atacantes otros que son víctimas La idea, es crear es un sistema de ataque y defensa que funcione con Inteligencia artificial la forma en la que modelamos el problema fue con grafos más, porque era el tema que queremos aprender y en sesiones anteriores, ya hemos visto las características del grafo, eh? La parte que Lo componen algunas que otras operaciones y estábamos entrando en la parte de los embebidos que es básicamente transformar la información que aparece en un grafo en un espacio vectorial es cómo aparece en la imagen acá aparece el grafo y cada uno de los nodos que existen dentro de"
59.000,118.800,es-us,0.66725,,,"Ha sido una representación en ese espacio de vida, una representación vectorial que es un nombre la forma en la que también lo hemos entendido Ya muchas veces acierto en este ejercicio the work of vector que son palabras que también se le hace una representación vectorial y se encuentra ordenado entonces la palabra King es rey, podría estar cerca de la palabra mente que es hombre, porque ambos referencian al género masculino pero de pronto también King tiene sentido que esté en cierta medida cerca a Queen porque quizás genera una una representación de jerarquía en un reino o algo así se ordena esa información acá pasa algo parecido. Escogemos los nodos a través de un algoritmo dos hemos estudiado lo que se llama igual tú vector lo que hacemos es encontrar esa representación vectorial."
118.900,134.800,es-us,0.83433,,,"Y para recapitular decisiones anteriores, Cómo se hace eso, eh? Se hacía con algo que se llama Random Walk que es empiezo a caminar en ese grafo salto de un nodo a otro Santo vino a otro y empezó a encontrar algo que se llama."
179.000,238.800,es-us,,,,"Que es otra forma de de referencia a los nodos Pero entonces la similaridad que tendría este nodo y con este nuevo j, y lo que yo quiero hacer es que esa similar ya sea muy parecida, o sea, equivalente como aparece aquí aquí abajo, si se dan cuenta de esta fórmula a la que aparecería en el espacio vectorial donde tengo Z y que representa que sería la representación de pi y tengo Z J que representaría la de Entonces al hacer es algo ir borrando Walk hacerlo con cada uno de los nuevos como el punto de inicio empezó a encontrar Cuáles son los nodos que están cerca a ese nodo Y a partir de esa similitud matemática, Eh busco reducir ese error Se podría decir por aquí de hecho, eh, En este video, les van explica un poco cómo funciona que que cada uno de los los tendría una representación vectorial, qué dimensión tiene esa representación vectorial la que yo desee eso es un hipermetropía."
238.900,298.800,es-us,0.69852,,,"Dimensiones y coordinaciones 70 dimensiones 1500 dimensiones eso es algo que yo defino Con qué propósito fundó uno Escoge la dimensión con que sea lo suficientemente buena para representar la información correctamente si colocó una dimensión muy grande los puntos que eran muy alejados entre sí Y si la película anteriormente no encuentra nada porque está muy lejos si encuentro si colocó una dimensión muy pequeña los puntos van a estar muy aglomerados muy pegados muy muy pegados y va a pasar algo parecido van a estar tan pegados que no voy a encontrar un patrón definido en las tareas que yo vaya a hacer como la que vamos a hacer hoy que es encontrar comunidades em entonces acá el explicar lo que les comentaba que se empieza a hacer como un Random White saltar de aquí allá saltar de aquí allá para encontrar la similitud pero también encuentro la similitud a través de, eh, en ese espacio vectorial defino puntos aleatorios que representan cada uno de los dos cálculo."
299.000,358.200,es-us,,,,"Cuál es esa similitud a través del coseno y lo que yo quiero es empezar a ajustar esos puntos que representan los vectores que representan los nodos Perdón empezar a moverlos en ese espacio vectorial cosa que la similitud o que esa ese valor de similitud que se encuentra en en el que ocurre usted el rango sea muy muy muy parecida a esa similitud que yo calcularía con ese coseno entre los dos puntos y ese es el error, que yo quiero ver disminuir Ese es el error, que yo Quiero bajar lo más posible y esa es la fórmula que aparece aquí eso está en palabras burdas. Eso es lo que se dice, pero al final pues Estos son también se define como distribuciones y demás Y eso es lo que está calculando acá ese algoritmo entonces para solamente Añadir habían dos dos formas de hacer ese Random y era el not to be la diferencia."
359.000,417.800,es-us,,,,"Igual salta al hacer ese Rango igual al hacer ese salto aleatorio, lo hace como lo acabo de decir de forma aleatoria. Yo salto al fin allá sin importar sin seguirme en una regla, sino simplemente hago saltos. Hago saltos a los saltos, em, eso sería the Wild pero lo Cómo funcionaría el Note to vector que no sé entender aquí abajo, sí, por aquí el norte, vector es que sí, maneja ciertos valores de probabilidad para hacer esos saltos que definíamos que eran dos uno para poder definir, qué tan cerca quiero estar de los vecinos que están cerca señor, Oh sí me quiero arriesgar a explorar conexiones mucho más lejanas de pronto se ve mejor acá en esta en esta imagen de este video que este mando explica muy bien ese tema también, eh? Los dos términos que yo utilizo de probabilidad son bps Y dfs, ahorita no me acuerdo bien Cuáles son los significados exactos pero"
418.900,478.800,es-us,0.79909,,,"Que representan como las flechas se dan cuenta ahí es imaginen que el vector el nodo de inicio que se usa es este u que aparece acá es donde yo voy a empezar mi Random si el valor de bfs es muy alto más que Comparado con el dfs. Yo voy a intentar encontrar o Navegar en esos nuevos que son cercanos que son pegados a ese nodo original Así que voy a encontrar como los vecinos en este caso supongamos mis mejores amigos, mi círculo mejores amigos más más pequeño y no se extendería a otros mientras si el DF es más alto comparativamente él intentaría encontrar conexiones mucho más lejanas, entonces el amigo de mi amigo de mi amigo de mi amigo y mi amigo hasta donde yo quiera colocarle, básicamente Y de esa manera. Yo defino esos valores de de similitud y hago otra vez el mismo algoritmo que hemos ahorita de de encontrar esa similitud equivalente."
479.000,538.700,es-us,,,,"De reducir ese error lo más positivo eso es la forma en la que funcionaría entonces eso, Para qué funciona después de que tenemos el espacio ya el espacio vectorial donde a los nodos no son nodos, son representaciones vectoriales que son un espejo un equivalente a esas conexiones que se tienen que hay que tener algo en cuenta, esté en verin, qué hacemos acá? Solamente tiene en cuenta las conexiones de los nodos, con quién estoy conectado, pero no me interesa las características de los nodos o las características de los puentes que en algunos otras aplicaciones sí me interesaría por ejemplo, eh? Que de pronto la conexión que yo tengo con esa persona es la distancia y la distancia de pronto sí puede que sea algo importante o el canal de comunicación me comunico con él por correo por WhatsApp en persona y demás Puede que sea algo que también me interese agregar, pero para estos embebidos que estamos viendo en este momento no se considera la única matriz que se usa es el jeansy Matrix siempre tengo problemas."
539.000,598.600,es-us,,,,"Se han de esa esa palabra, pero es la matriz de proximidad, que es con quién estoy conectado, con quién estoy cerca es lo único que que se tiene en cuenta ahí, Para qué me sirve eso para poder hacer, eh, Ya después quizás algunas tareas de Machine learning. Ya no son simplemente grafos aleatorios, eh, No aleatorio, sino conectados así de una forma difícil de entender, sino ya son grafos a los que yo les podría aplicar algún tipo de tarea clusterización o algún tipo de regresión de clasificación de predicción, eso también podríamos hacerlo y eh Podría empezar a armar comunidades que se que se aplica mucho en grafo, Sí eso es lo que yo estoy estudiando entonces en el ejercicio que estamos haciendo nosotros, Porque sería de pronto interesante conocer, qué comunidades hay porque quizás hayan servidores y clientes que sean a los que a mí me interese tener más detalle, digamos para atacar o que sean de pronto el puente para conectar."
